historical_theme	historical_condition	historical_class_or_region	current_matching_evidence	current_GO_support	current_KEGG_support	current_status	reason	author_decision	author_notes
Broad proliferation / regulatory pathway	GAM	Stable Up	Broad regulatory and signaling processes	1115	13	SUPPORTED_CURRENTLY	Current official-name evidence matched		
Endocrine / physiological regulation	HT	Highly Stable Constant	Broad regulatory and signaling processes; Endocrine and physiological regulation	298	20	SUPPORTED_CURRENTLY	Current official-name evidence matched		
Energy / core metabolism	HT	Highly Stable Down	Energy and core metabolism; Metabolism and redox processes	259	54	SUPPORTED_CURRENTLY	Current official-name evidence matched		
Other KEGG / manual review	HT	Highly Stable Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Translation / ribosome	LT	Highly Stable Constant	Translation, ribosome and protein targeting	4	4	SUPPORTED_CURRENTLY	Current official-name evidence matched		
Other KEGG / manual review	LT	Highly Stable Down		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Other KEGG / manual review	LT	Highly Stable Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Endocrine / physiological regulation	LT	Low Stability		0	0	NOT_SUPPORTED_CURRENTLY	No current official-name evidence matched		
Other KEGG / manual review	UV	Highly Stable Down		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Other KEGG / manual review	UV	Stable Constant		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Other KEGG / manual review	UV	Stable Down		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Other KEGG / manual review	UV	Transitional Down		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Other KEGG / manual review	OSM	Highly Stable Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
Energy / core metabolism	GAM	Transitional Down	Energy and core metabolism; Metabolism and redox processes	278	24	SUPPORTED_CURRENTLY	Current official-name evidence matched		
Other KEGG / manual review	UV	Highly Stable Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	UV	Transitional Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	UV	Low Stability		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	GAM	Transitional Constant		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	OSM	Highly Stable Constant		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	UV	Highly Stable Constant		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	GAM	Stable Constant		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	GAM	Low Stability		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	GAM	Transitional Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
No significant KEGG enrichment	UV	Stable Up		0	0	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	No transparent match to a current candidate definition		
