condition	FSF_region	candidate_theme	GO_term_count_raw	GO_redundancy_group_count	KEGG_term_count	strongest_GO_adjusted_p	strongest_KEGG_adjusted_p	GO_support	KEGG_support	cross_source_support	evidence_status	historical_relation	author_decision	author_notes
DES	Low Stability	Translation, ribosome and protein targeting	0	0	0					NO	NO_CURRENT_SUPPORT	HISTORICAL_CANDIDATE		
DES	Low Stability	Vesicle trafficking and organelle organization	0	0	0					NO	NO_CURRENT_SUPPORT	NEW_CURRENT_CANDIDATE		
DES	Highly Stable	Broad regulatory and signaling processes	105	28	2	1.34004707696337e-06	0.0464257293643566	GO:0000075: cell cycle checkpoint signaling; GO:0000076: DNA replication checkpoint signaling; GO:0006355: regulation of DNA-templated transcription; GO:0006937: regulation of muscle contraction; GO:0006942: regulation of striated muscle contraction; GO:0007088: regulation of mitotic nuclear division; GO:0007267: cell-cell signaling; GO:0009890: negative regulation of biosynthetic process; GO:0009893: positive regulation of metabolic process; GO:0009894: regulation of catabolic process; GO:0010466: negative regulation of peptidase activity; GO:0010468: regulation of gene expression; GO:0010506: regulation of autophagy; GO:0010507: negative regulation of autophagy; GO:0010556: regulation of macromolecule biosynthetic process; GO:0010558: negative regulation of macromolecule biosynthetic process; GO:0010564: regulation of cell cycle process; GO:0010604: positive regulation of macromolecule metabolic process; GO:0010605: negative regulation of macromolecule metabolic process; GO:0010629: negative regulation of gene expression; GO:0010881: regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion; GO:0010882: regulation of cardiac muscle contraction by calcium ion signaling; GO:0010948: negative regulation of cell cycle process; GO:0010951: negative regulation of endopeptidase activity; GO:0010965: regulation of mitotic sister chromatid separation; GO:0014722: regulation of skeletal muscle contraction by calcium ion signaling; GO:0014809: regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion; GO:0014810: positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion; GO:0017148: negative regulation of translation; GO:0019219: regulation of nucleobase-containing compound metabolic process; GO:0019222: regulation of metabolic process; GO:0023052: signaling; GO:0030071: regulation of mitotic metaphase/anaphase transition; GO:0031323: obsolete regulation of cellular metabolic process; GO:0031324: obsolete negative regulation of cellular metabolic process; GO:0031326: obsolete regulation of cellular biosynthetic process; GO:0031327: obsolete negative regulation of cellular biosynthetic process; GO:0031329: obsolete regulation of cellular catabolic process; GO:0031570: DNA integrity checkpoint signaling; GO:0032386: regulation of intracellular transport; GO:0032388: positive regulation of intracellular transport; GO:0035722: interleukin-12-mediated signaling pathway; GO:0040034: regulation of development, heterochronic; GO:0044087: regulation of cellular component biogenesis; GO:0044088: regulation of vacuole organization; GO:0044531: regulation of killing of cells of another organism; GO:0045540: regulation of cholesterol biosynthetic process; GO:0045786: negative regulation of cell cycle; GO:0045814: negative regulation of gene expression, epigenetic; GO:0045893: positive regulation of DNA-templated transcription; GO:0045930: negative regulation of mitotic cell cycle; GO:0045934: negative regulation of nucleobase-containing compound metabolic process; GO:0045943: positive regulation of transcription by RNA polymerase I; GO:0048016: obsolete inositol phosphate-mediated signaling; GO:0048518: positive regulation of biological process; GO:0048522: positive regulation of cellular process; GO:0050789: regulation of biological process; GO:0050794: regulation of cellular process; GO:0050803: regulation of synapse structure or activity; GO:0051049: regulation of transport; GO:0051052: regulation of DNA metabolic process; GO:0051171: obsolete regulation of nitrogen compound metabolic process; GO:0051172: obsolete negative regulation of nitrogen compound metabolic process; GO:0051252: regulation of RNA metabolic process; GO:0051253: negative regulation of RNA metabolic process; GO:0051254: positive regulation of RNA metabolic process; GO:0051284: obsolete positive regulation of sequestering of calcium ion; GO:0051783: regulation of nuclear division; GO:0051963: regulation of synapse assembly; GO:0051985: negative regulation of chromosome segregation; GO:0052248: regulation of killing of cells of another organism; GO:0052433: regulation of killing of cells of another organism; GO:0060255: regulation of macromolecule metabolic process; GO:0060316: obsolete positive regulation of ryanodine-sensitive calcium-release channel activity; GO:0060341: regulation of cellular localization; GO:0060627: regulation of vesicle-mediated transport; GO:0065007: biological regulation; GO:0072425: mitotic G2 DNA damage checkpoint signaling; GO:0080090: regulation of primary metabolic process; GO:0090181: regulation of cholesterol metabolic process; GO:0090257: regulation of muscle system process; GO:0098916: anterograde trans-synaptic signaling; GO:0099178: regulation of retrograde trans-synaptic signaling by endocanabinoid; GO:0099536: synaptic signaling; GO:0099537: trans-synaptic signaling; GO:0106118: regulation of sterol biosynthetic process; GO:1901987: regulation of cell cycle phase transition; GO:1901988: negative regulation of cell cycle phase transition; GO:1901990: regulation of mitotic cell cycle phase transition; GO:1901991: negative regulation of mitotic cell cycle phase transition; GO:1902099: regulation of metaphase/anaphase transition of cell cycle; GO:1902680: positive regulation of RNA biosynthetic process; GO:1902750: negative regulation of cell cycle G2/M phase transition; GO:1902930: regulation of alcohol biosynthetic process; GO:1903506: obsolete regulation of nucleic acid-templated transcription; GO:1903508: obsolete positive regulation of nucleic acid-templated transcription; GO:1903818: positive regulation of voltage-gated potassium channel activity; GO:1905818: regulation of chromosome separation; GO:1905937: negative regulation of germ cell proliferation; GO:2000112: obsolete regulation of cellular macromolecule biosynthetic process; GO:2000113: obsolete negative regulation of cellular macromolecule biosynthetic process; GO:2000254: regulation of male germ cell proliferation; GO:2000255: negative regulation of male germ cell proliferation; GO:2000785: regulation of autophagosome assembly; GO:2001141: regulation of RNA biosynthetic process	ko04668: TNF signaling pathway; map04668: TNF signaling pathway	YES	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Highly Stable	Cell adhesion and extracellular organization	4	4	2	2.67047231512069e-06	0.0490821365450946	GO:0005576: extracellular region; GO:0005615: obsolete extracellular space; GO:0031012: extracellular matrix; GO:0044421: obsolete extracellular region part	K07763: MMP14; K07994: MMP13	YES	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Highly Stable	Cell cycle and division	52	4	6	2.26058131144338e-06	4.01372029748219e-07	GO:0000070: mitotic sister chromatid segregation; GO:0000075: cell cycle checkpoint signaling; GO:0000076: DNA replication checkpoint signaling; GO:0000082: G1/S transition of mitotic cell cycle; GO:0000278: mitotic cell cycle; GO:0000281: mitotic cytokinesis; GO:0000910: cytokinesis; GO:0007049: cell cycle; GO:0007051: spindle organization; GO:0007052: mitotic spindle organization; GO:0007088: regulation of mitotic nuclear division; GO:0007127: meiosis I; GO:0007129: homologous chromosome pairing at meiosis; GO:0007143: female meiotic nuclear division; GO:0010564: regulation of cell cycle process; GO:0010948: negative regulation of cell cycle process; GO:0010965: regulation of mitotic sister chromatid separation; GO:0022402: cell cycle process; GO:0030071: regulation of mitotic metaphase/anaphase transition; GO:0031570: DNA integrity checkpoint signaling; GO:0033206: meiotic cytokinesis; GO:0040038: polar body extrusion after meiotic divisions; GO:0044770: cell cycle phase transition; GO:0044772: mitotic cell cycle phase transition; GO:0044786: cell cycle DNA replication; GO:0044839: cell cycle G2/M phase transition; GO:0044843: cell cycle G1/S phase transition; GO:0045132: meiotic chromosome segregation; GO:0045786: negative regulation of cell cycle; GO:0045930: negative regulation of mitotic cell cycle; GO:0051231: spindle elongation; GO:0051233: spindle midzone; GO:0051256: mitotic spindle midzone assembly; GO:0051301: cell division; GO:0051321: meiotic cell cycle; GO:0061640: cytoskeleton-dependent cytokinesis; GO:0061982: meiosis I cell cycle process; GO:0070192: chromosome organization involved in meiotic cell cycle; GO:0072425: mitotic G2 DNA damage checkpoint signaling; GO:0140013: meiotic nuclear division; GO:0140014: mitotic nuclear division; GO:1901987: regulation of cell cycle phase transition; GO:1901988: negative regulation of cell cycle phase transition; GO:1901990: regulation of mitotic cell cycle phase transition; GO:1901991: negative regulation of mitotic cell cycle phase transition; GO:1902099: regulation of metaphase/anaphase transition of cell cycle; GO:1902750: negative regulation of cell cycle G2/M phase transition; GO:1902850: microtubule cytoskeleton organization involved in mitosis; GO:1902969: mitotic DNA replication; GO:1903046: meiotic cell cycle process; GO:1903047: mitotic cell cycle process; GO:1990023: mitotic spindle midzone	ko04110: Cell cycle; ko04111: Cell cycle - yeast; ko04113: Meiosis - yeast; map04110: Cell cycle; map04111: Cell cycle - yeast; map04113: Meiosis - yeast	YES	STRONG_MULTI_SOURCE_SUPPORT	HISTORICAL_CANDIDATE		
DES	Highly Stable	Chromosome and nuclear organization	30	9	2	1.44818038558643e-08	0.0490821365450946	GO:0000228: nuclear chromosome; GO:0000723: telomere maintenance; GO:0000777: kinetochore; GO:0000781: chromosome, telomeric region; GO:0000784: chromosome, telomeric region; GO:0000785: chromatin; GO:0000786: nucleosome; GO:0000792: heterochromatin; GO:0000793: condensed chromosome; GO:0000794: condensed nuclear chromosome; GO:0005694: chromosome; GO:0006323: chromosome organization; GO:0006325: chromatin organization; GO:0006342: heterochromatin formation; GO:0007059: chromosome segregation; GO:0007129: homologous chromosome pairing at meiosis; GO:0030261: chromosome condensation; GO:0030466: silent mating-type cassette heterochromatin formation; GO:0030527: structural constituent of chromatin; GO:0032200: telomere organization; GO:0044427: obsolete chromosomal part; GO:0044454: obsolete nuclear chromosome part; GO:0045132: meiotic chromosome segregation; GO:0045143: homologous chromosome segregation; GO:0051276: chromosome organization; GO:0051985: negative regulation of chromosome segregation; GO:0070192: chromosome organization involved in meiotic cell cycle; GO:0098687: chromosomal region; GO:0098813: nuclear chromosome segregation; GO:1905818: regulation of chromosome separation	K11275: H1_5; K11423: SETD2	YES	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Highly Stable	Cytoskeleton and cell motility	26	8	0	3.72178209114054e-05		GO:0000226: microtubule cytoskeleton organization; GO:0007010: cytoskeleton organization; GO:0016614: oxidoreductase activity, acting on CH-OH group of donors; GO:0016616: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0016648: oxidoreductase activity, acting on the CH-NH group of donors, disulfide as acceptor; GO:0016651: oxidoreductase activity, acting on NAD(P)H; GO:0016655: oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; GO:0016672: oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor; GO:0016675: oxidoreductase activity, acting on a heme group of donors; GO:0016676: obsolete oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor; GO:0016679: oxidoreductase activity, acting on diphenols and related substances as donors; GO:0016681: obsolete oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor; GO:0016684: oxidoreductase activity, acting on peroxide as acceptor; GO:0016721: oxidoreductase activity, acting on superoxide radicals as acceptor; GO:0016798: hydrolase activity, acting on glycosyl bonds; GO:0030613: oxidoreductase activity, acting on phosphorus or arsenic in donors; GO:0030614: oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor; GO:0032156: septin cytoskeleton; GO:0033764: steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0051418: microtubule nucleation by microtubule organizing center; GO:0061640: cytoskeleton-dependent cytokinesis; GO:0140096: catalytic activity, acting on a protein; GO:0140097: catalytic activity, acting on DNA; GO:0140098: catalytic activity, acting on RNA; GO:0140101: catalytic activity, acting on a tRNA; GO:1902850: microtubule cytoskeleton organization involved in mitosis		NO	REQUIRES_AUTHOR_REVIEW	NEW_CURRENT_CANDIDATE		
DES	Highly Stable	Development and morphogenesis	10	5	0	2.68352736762176e-10		GO:0001751: compound eye photoreceptor cell differentiation; GO:0001754: eye photoreceptor cell differentiation; GO:0003006: developmental process involved in reproduction; GO:0005622: intracellular anatomical structure; GO:0007277: pole cell development; GO:0007281: germ cell development; GO:0009994: oocyte differentiation; GO:0040034: regulation of development, heterochronic; GO:0046530: photoreceptor cell differentiation; GO:0060644: mammary gland epithelial cell differentiation		NO	GO_SUPPORTED	HISTORICAL_CANDIDATE		
DES	Highly Stable	DNA repair and genome maintenance	11	4	2	0.00456956906691152	0.039194629740492	GO:0000715: nucleotide-excision repair, DNA damage recognition; GO:0000724: double-strand break repair via homologous recombination; GO:0006281: DNA repair; GO:0006283: transcription-coupled nucleotide-excision repair; GO:0006289: nucleotide-excision repair; GO:0006294: nucleotide-excision repair, preincision complex assembly; GO:0006296: obsolete nucleotide-excision repair, DNA incision, 5'-to lesion; GO:0006302: double-strand break repair; GO:0006974: DNA damage response; GO:0070911: global genome nucleotide-excision repair; GO:0072425: mitotic G2 DNA damage checkpoint signaling	ko03420: Nucleotide excision repair; map03420: Nucleotide excision repair	YES	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Highly Stable	Endocrine and physiological regulation	9	5	4	0.000895111686435086	0.000730453898180105	GO:0006694: steroid biosynthetic process; GO:0007269: neurotransmitter secretion; GO:0008202: steroid metabolic process; GO:0031960: response to corticosteroid; GO:0033764: steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0072555: obsolete 17-beta-ketosteroid reductase (NADPH) activity; GO:0072582: 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; GO:1904400: response to Thyroid stimulating hormone; GO:1904401: cellular response to Thyroid stimulating hormone	ko00140: Steroid hormone biosynthesis; ko00981: Insect hormone biosynthesis; map00140: Steroid hormone biosynthesis; map00981: Insect hormone biosynthesis	YES	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Highly Stable	Energy and core metabolism	28	13	2	5.08056543644537e-10	4.1304205550354e-11	GO:0000275: obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1); GO:0000276: obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); GO:0005747: obsolete mitochondrial respiratory chain complex I; GO:0005750: obsolete mitochondrial respiratory chain complex III; GO:0005751: obsolete mitochondrial respiratory chain complex IV; GO:0005753: obsolete mitochondrial proton-transporting ATP synthase complex; GO:0006091: generation of precursor metabolites and energy; GO:0006119: oxidative phosphorylation; GO:0006122: mitochondrial electron transport, ubiquinol to cytochrome c; GO:0006123: mitochondrial electron transport, cytochrome c to oxygen; GO:0015980: energy derivation by oxidation of organic compounds; GO:0015985: energy coupled proton transport, down electrochemical gradient; GO:0015986: proton motive force-driven ATP synthesis; GO:0015990: electron transport coupled proton transport; GO:0019646: aerobic electron transport chain; GO:0022900: electron transport chain; GO:0022904: respiratory electron transport chain; GO:0042773: ATP synthesis coupled electron transport; GO:0042775: mitochondrial ATP synthesis coupled electron transport; GO:0042776: proton motive force-driven mitochondrial ATP synthesis; GO:0045259: proton-transporting ATP synthase complex; GO:0045261: obsolete proton-transporting ATP synthase complex, catalytic core F(1); GO:0045263: obsolete proton-transporting ATP synthase complex, coupling factor F(o); GO:0045271: respiratory chain complex I; GO:0045275: respiratory chain complex III; GO:0045277: respiratory chain complex IV; GO:0046933: proton-transporting ATP synthase activity, rotational mechanism; GO:0098803: respiratory chain complex	ko00190: Oxidative phosphorylation; map00190: Oxidative phosphorylation	YES	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE		
DES	Highly Stable	Immune and defense processes	4	1	4	0.0270470426198654	0.0151796046480483	GO:0000281: mitotic cytokinesis; GO:0000910: cytokinesis; GO:0033206: meiotic cytokinesis; GO:0061640: cytoskeleton-dependent cytokinesis	ko05166: Human T-cell leukemia virus 1 infection; ko05169: Epstein-Barr virus infection; map05166: Human T-cell leukemia virus 1 infection; map05169: Epstein-Barr virus infection	YES	STRONG_MULTI_SOURCE_SUPPORT	NEW_CURRENT_CANDIDATE		
DES	Highly Stable	Membrane transport and ion homeostasis	41	15	1	4.0100155037361e-08	0.0490821365450946	GO:0000275: obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1); GO:0000276: obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); GO:0005324: long-chain fatty acid transmembrane transporter activity; GO:0005753: obsolete mitochondrial proton-transporting ATP synthase complex; GO:0006122: mitochondrial electron transport, ubiquinol to cytochrome c; GO:0006123: mitochondrial electron transport, cytochrome c to oxygen; GO:0006888: endoplasmic reticulum to Golgi vesicle-mediated transport; GO:0007034: vacuolar transport; GO:0007041: lysosomal transport; GO:0015078: proton transmembrane transporter activity; GO:0015909: long-chain fatty acid transport; GO:0015985: energy coupled proton transport, down electrochemical gradient; GO:0015990: electron transport coupled proton transport; GO:0016192: vesicle-mediated transport; GO:0016197: endosomal transport; GO:0016469: proton-transporting two-sector ATPase complex; GO:0019646: aerobic electron transport chain; GO:0022900: electron transport chain; GO:0022904: respiratory electron transport chain; GO:0030001: metal ion transport; GO:0032386: regulation of intracellular transport; GO:0032388: positive regulation of intracellular transport; GO:0033177: proton-transporting two-sector ATPase complex, proton-transporting domain; GO:0033178: proton-transporting two-sector ATPase complex, catalytic domain; GO:0042773: ATP synthesis coupled electron transport; GO:0042775: mitochondrial ATP synthesis coupled electron transport; GO:0045259: proton-transporting ATP synthase complex; GO:0045261: obsolete proton-transporting ATP synthase complex, catalytic core F(1); GO:0045263: obsolete proton-transporting ATP synthase complex, coupling factor F(o); GO:0046873: metal ion transmembrane transporter activity; GO:0046907: intracellular transport; GO:0046933: proton-transporting ATP synthase activity, rotational mechanism; GO:0048193: Golgi vesicle transport; GO:0048489: synaptic vesicle transport; GO:0051049: regulation of transport; GO:0060316: obsolete positive regulation of ryanodine-sensitive calcium-release channel activity; GO:0060627: regulation of vesicle-mediated transport; GO:0070588: calcium ion transmembrane transport; GO:0099003: vesicle-mediated transport in synapse; GO:1902600: proton transmembrane transport; GO:1903818: positive regulation of voltage-gated potassium channel activity	K09640: TMPRSS9	YES	REQUIRES_AUTHOR_REVIEW	NEW_CURRENT_CANDIDATE		
