decision_id	condition	FSF_region	candidate_theme	GO_support	KEGG_support	cross_source_support	GO_redundancy_group_count	strongest_GO_adjusted_p	strongest_KEGG_adjusted_p	evidence_status	historical_relation	within_condition_distinctiveness	supporting_term_examples	conflicting_or_ambiguous_evidence	recommended_action_options	review_priority	trace_key	author_decision	author_notes
AUTHOR_BIO_THEME_0011	DES	Highly Stable	Cytoskeleton and cell motility	26 terms / 8 redundancy groups	0 terms	NO	8	3.72178209114054e-05		REQUIRES_AUTHOR_REVIEW	NEW_CURRENT_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0140098:catalytic activity, acting on RNA; GO:GO:0016616:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:GO:0140101:catalytic activity, acting on a tRNA; GO:GO:0016676:obsolete oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor; GO:GO:0016675:oxidoreductase activity, acting on a heme group of donors	Obsolete GO term evidence present	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	DES|Highly Stable|Cytoskeleton and cell motility		
AUTHOR_BIO_THEME_0012	DES	Highly Stable	Development and morphogenesis	10 terms / 5 redundancy groups	0 terms	NO	5	2.68352736762176e-10		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0005622:intracellular anatomical structure; GO:GO:0001751:compound eye photoreceptor cell differentiation; GO:GO:0060644:mammary gland epithelial cell differentiation; GO:GO:0007281:germ cell development; GO:GO:0007277:pole cell development	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	DES|Highly Stable|Development and morphogenesis		
AUTHOR_BIO_THEME_0013	DES	Highly Stable	DNA repair and genome maintenance	11 terms / 4 redundancy groups	2 terms	YES	4	0.00456956906691152	0.039194629740492	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0006302:double-strand break repair; GO:GO:0000715:nucleotide-excision repair, DNA damage recognition; GO:GO:0006974:DNA damage response; GO:GO:0006283:transcription-coupled nucleotide-excision repair; GO:GO:0070911:global genome nucleotide-excision repair	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|DNA repair and genome maintenance		
AUTHOR_BIO_THEME_0014	DES	Highly Stable	Endocrine and physiological regulation	9 terms / 5 redundancy groups	4 terms	YES	5	0.000895111686435086	0.000730453898180105	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	KEGG:ko00140:Steroid hormone biosynthesis; KEGG:map00140:Steroid hormone biosynthesis; GO:GO:0008202:steroid metabolic process; KEGG:ko00981:Insect hormone biosynthesis; KEGG:map00981:Insect hormone biosynthesis	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Endocrine and physiological regulation		
AUTHOR_BIO_THEME_0015	DES	Highly Stable	Energy and core metabolism	28 terms / 13 redundancy groups	2 terms	YES	13	5.08056543644537e-10	4.1304205550354e-11	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	KEGG:ko00190:Oxidative phosphorylation; KEGG:map00190:Oxidative phosphorylation; GO:GO:0006119:oxidative phosphorylation; GO:GO:0098803:respiratory chain complex; GO:GO:0042773:ATP synthesis coupled electron transport	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Energy and core metabolism		
AUTHOR_BIO_THEME_0016	DES	Highly Stable	Immune and defense processes	4 terms / 1 redundancy groups	4 terms	YES	1	0.0270470426198654	0.0151796046480483	STRONG_MULTI_SOURCE_SUPPORT	NEW_CURRENT_CANDIDATE	REGION_UNIQUE_CANDIDATE	KEGG:ko05169:Epstein-Barr virus infection; KEGG:map05169:Epstein-Barr virus infection; GO:GO:0061640:cytoskeleton-dependent cytokinesis; GO:GO:0000910:cytokinesis; GO:GO:0033206:meiotic cytokinesis	None identified by deterministic audit	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Immune and defense processes		
AUTHOR_BIO_THEME_0017	DES	Highly Stable	Membrane transport and ion homeostasis	41 terms / 15 redundancy groups	1 terms	YES	15	4.0100155037361e-08	0.0490821365450946	REQUIRES_AUTHOR_REVIEW	NEW_CURRENT_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0042773:ATP synthesis coupled electron transport; GO:GO:0042775:mitochondrial ATP synthesis coupled electron transport; GO:GO:0005753:obsolete mitochondrial proton-transporting ATP synthase complex; GO:GO:0045259:proton-transporting ATP synthase complex; GO:GO:0015985:energy coupled proton transport, down electrochemical gradient	Obsolete GO term evidence present	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Membrane transport and ion homeostasis		
AUTHOR_BIO_THEME_0018	DES	Highly Stable	Metabolism and redox processes	203 terms / 54 redundancy groups	23 terms	YES	54	6.85930150985074e-24	2.82420538944908e-09	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0006518:peptide metabolic process; GO:GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; GO:GO:0043603:obsolete amide metabolic process; GO:GO:0043043:peptide biosynthetic process; GO:GO:0043604:obsolete amide biosynthetic process	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Metabolism and redox processes		
AUTHOR_BIO_THEME_0019	DES	Highly Stable	Neural, projection and behavior processes	19 terms / 8 redundancy groups	0 terms	NO	8	0.00230214321237114		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0098793:presynapse; GO:GO:0099537:trans-synaptic signaling; GO:GO:0098916:anterograde trans-synaptic signaling; GO:GO:0099536:synaptic signaling; GO:GO:0042755:eating behavior	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	DES|Highly Stable|Neural, projection and behavior processes		
AUTHOR_BIO_THEME_0020	DES	Highly Stable	Protein turnover and proteostasis	27 terms / 8 redundancy groups	8 terms	YES	8	7.66556004433134e-06	4.86136880652941e-06	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	KEGG:ko04138:Autophagy - yeast; KEGG:map04138:Autophagy - yeast; GO:GO:0030414:peptidase inhibitor activity; GO:GO:0004866:endopeptidase inhibitor activity; GO:GO:0030163:protein catabolic process	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Protein turnover and proteostasis		
AUTHOR_BIO_THEME_0021	DES	Highly Stable	RNA processing and expression	36 terms / 8 redundancy groups	0 terms	NO	8	3.08763346159246e-22		REQUIRES_AUTHOR_REVIEW	NEW_CURRENT_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; GO:GO:0000956:nuclear-transcribed mRNA catabolic process; GO:GO:0006396:RNA processing; GO:GO:0006402:mRNA catabolic process; GO:GO:0016070:RNA metabolic process	Obsolete GO term evidence present	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|RNA processing and expression		
AUTHOR_BIO_THEME_0022	DES	Highly Stable	Stress response and signaling	4 terms / 2 redundancy groups	4 terms	YES	2	0.00823374306620174	0.00877541512350908	STRONG_MULTI_SOURCE_SUPPORT	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0051716:cellular response to stimulus; KEGG:ko05418:Fluid shear stress and atherosclerosis; KEGG:map05418:Fluid shear stress and atherosclerosis; GO:GO:0033554:cellular response to stress; GO:GO:0034976:response to endoplasmic reticulum stress	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Stress response and signaling		
AUTHOR_BIO_THEME_0023	DES	Highly Stable	Translation, ribosome and protein targeting	30 terms / 10 redundancy groups	4 terms	YES	10	1.03796535357006e-53	1.86229703426214e-46	REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0022626:cytosolic ribosome; KEGG:ko03010:Ribosome; KEGG:map03010:Ribosome; GO:GO:0002181:cytoplasmic translation; GO:GO:0003735:structural constituent of ribosome	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Translation, ribosome and protein targeting		
AUTHOR_BIO_THEME_0024	DES	Highly Stable	Vesicle trafficking and organelle organization	32 terms / 7 redundancy groups	2 terms	YES	7	3.6773832413061e-36	0.039194629740492	STRONG_MULTI_SOURCE_SUPPORT	NEW_CURRENT_CANDIDATE	REGION_UNIQUE_CANDIDATE	GO:GO:0072599:establishment of protein localization to endoplasmic reticulum; GO:GO:0070972:protein localization to endoplasmic reticulum; GO:GO:0090150:establishment of protein localization to membrane; GO:GO:0030867:rough endoplasmic reticulum membrane; GO:GO:0098556:cytoplasmic side of rough endoplasmic reticulum membrane	None identified by deterministic audit	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	DES|Highly Stable|Vesicle trafficking and organelle organization		
AUTHOR_BIO_THEME_0025	GAM	Low Stability	Cell adhesion and extracellular organization	1 terms / 1 redundancy groups	10 terms	YES	1	0.00226568613497886	0.0161155237617938	STRONG_MULTI_SOURCE_SUPPORT	HISTORICAL_CANDIDATE	SHARED_ACROSS_4_REGIONS	GO:GO:0005576:extracellular region; KEGG:K01388:MMP1; KEGG:K01394:MMP3; KEGG:K01402:MMP8; KEGG:K01413:MMP12	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	GAM|Low Stability|Cell adhesion and extracellular organization		
AUTHOR_BIO_THEME_0026	GAM	Low Stability	Development and morphogenesis	0 terms / 0 redundancy groups	1 terms	NO	0		0.0161155237617938	KEGG_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_4_REGIONS	KEGG:K05502:BMP1, TLD	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Low Stability|Development and morphogenesis		
AUTHOR_BIO_THEME_0027	GAM	Low Stability	Membrane transport and ion homeostasis	0 terms / 0 redundancy groups	3 terms	NO	0		0.00657527847307215	KEGG_SUPPORTED	NEW_CURRENT_CANDIDATE	SHARED_ACROSS_4_REGIONS	KEGG:K14711:SLC39A5, ZIP5; KEGG:K14716:SLC39A10, ZIP10; KEGG:K14951:ATP13A3_4_5	None identified by deterministic audit	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Low Stability|Membrane transport and ion homeostasis		
AUTHOR_BIO_THEME_0028	GAM	Low Stability	Protein turnover and proteostasis	2 terms / 1 redundancy groups	7 terms	YES	1	0.00606393489412882	0.0161155237617938	STRONG_MULTI_SOURCE_SUPPORT	HISTORICAL_CANDIDATE	SHARED_ACROSS_4_REGIONS	GO:GO:0008237:metallopeptidase activity; GO:GO:0004222:metalloendopeptidase activity; KEGG:K01291:CPB1; KEGG:K01298:CPA2; KEGG:K01300:CPB2	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	HIGH	GAM|Low Stability|Protein turnover and proteostasis		
AUTHOR_BIO_THEME_0029	GAM	Transitional	Broad regulatory and signaling processes	93 terms / 24 redundancy groups	0 terms	NO	24	2.61213748149677e-08		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0050789:regulation of biological process; GO:GO:0065007:biological regulation; GO:GO:0050794:regulation of cellular process; GO:GO:0005515:protein binding; GO:GO:0048523:negative regulation of cellular process	Obsolete GO term evidence present; Broad candidate definition; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	GAM|Transitional|Broad regulatory and signaling processes		
AUTHOR_BIO_THEME_0030	GAM	Transitional	Cell adhesion and extracellular organization	1 terms / 1 redundancy groups	0 terms	NO	1	0.0413250318168289		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_4_REGIONS	GO:GO:0030155:regulation of cell adhesion	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Cell adhesion and extracellular organization		
AUTHOR_BIO_THEME_0031	GAM	Transitional	Cell cycle and division	1 terms / 1 redundancy groups	0 terms	NO	1	0.0322547559493773		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0051301:cell division	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Cell cycle and division		
AUTHOR_BIO_THEME_0032	GAM	Transitional	Chromosome and nuclear organization	15 terms / 8 redundancy groups	0 terms	NO	8	7.9356588043512e-05		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0005694:chromosome; GO:GO:0000784:chromosome, telomeric region; GO:GO:0044427:obsolete chromosomal part; GO:GO:0003682:chromatin binding; GO:GO:0000781:chromosome, telomeric region	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	GAM|Transitional|Chromosome and nuclear organization		
AUTHOR_BIO_THEME_0033	GAM	Transitional	Cytoskeleton and cell motility	9 terms / 3 redundancy groups	0 terms	NO	3	0.000578380362132695		GO_SUPPORTED	NEW_CURRENT_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0030029:actin filament-based process; GO:GO:0032970:regulation of actin filament-based process; GO:GO:0032956:regulation of actin cytoskeleton organization; GO:GO:0007010:cytoskeleton organization; GO:GO:0140096:catalytic activity, acting on a protein	None identified by deterministic audit	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Cytoskeleton and cell motility		
AUTHOR_BIO_THEME_0034	GAM	Transitional	Development and morphogenesis	49 terms / 6 redundancy groups	0 terms	NO	6	9.84093138468989e-06		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_4_REGIONS	GO:GO:0005622:intracellular anatomical structure; GO:GO:0009653:anatomical structure morphogenesis; GO:GO:0048856:anatomical structure development; GO:GO:0032502:developmental process; GO:GO:0030154:cell differentiation	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	GAM|Transitional|Development and morphogenesis		
AUTHOR_BIO_THEME_0035	GAM	Transitional	DNA repair and genome maintenance	1 terms / 1 redundancy groups	0 terms	NO	1	0.0209097419121519		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0051102:obsolete DNA ligation involved in DNA recombination	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	GAM|Transitional|DNA repair and genome maintenance		
AUTHOR_BIO_THEME_0036	GAM	Transitional	Energy and core metabolism	0 terms / 0 redundancy groups	2 terms	NO	0		0.00931581316843851	KEGG_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_3_REGIONS	KEGG:ko00190:Oxidative phosphorylation; KEGG:map00190:Oxidative phosphorylation	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Energy and core metabolism		
AUTHOR_BIO_THEME_0037	GAM	Transitional	Membrane transport and ion homeostasis	10 terms / 6 redundancy groups	0 terms	NO	6	0.00728314711342589		GO_SUPPORTED	NEW_CURRENT_CANDIDATE	SHARED_ACROSS_4_REGIONS	GO:GO:0016192:vesicle-mediated transport; GO:GO:0044325:transmembrane transporter binding; GO:GO:0046907:intracellular transport; GO:GO:0098877:neurotransmitter receptor transport to plasma membrane; GO:GO:0098969:neurotransmitter receptor transport to postsynaptic membrane	None identified by deterministic audit	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Membrane transport and ion homeostasis		
AUTHOR_BIO_THEME_0038	GAM	Transitional	Metabolism and redox processes	36 terms / 13 redundancy groups	0 terms	NO	13	8.30209122436336e-06		REQUIRES_AUTHOR_REVIEW	HISTORICAL_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0031323:obsolete regulation of cellular metabolic process; GO:GO:0043170:macromolecule metabolic process; GO:GO:0044260:obsolete cellular macromolecule metabolic process; GO:GO:0051171:obsolete regulation of nitrogen compound metabolic process; GO:GO:0019222:regulation of metabolic process	Obsolete GO term evidence present; Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	GAM|Transitional|Metabolism and redox processes		
AUTHOR_BIO_THEME_0039	GAM	Transitional	Neural, projection and behavior processes	12 terms / 7 redundancy groups	0 terms	NO	7	0.000980024047135405		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_2_REGIONS	GO:GO:0048699:generation of neurons; GO:GO:0035418:protein localization to synapse; GO:GO:0098928:presynaptic signal transduction; GO:GO:0099526:presynapse to nucleus signaling pathway; GO:GO:0097470:ribbon synapse	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Neural, projection and behavior processes		
AUTHOR_BIO_THEME_0040	GAM	Transitional	Protein turnover and proteostasis	2 terms / 1 redundancy groups	0 terms	NO	1	0.0322547559493773		GO_SUPPORTED	HISTORICAL_CANDIDATE	SHARED_ACROSS_4_REGIONS	GO:GO:0061659:ubiquitin-like protein ligase activity; GO:GO:0061630:ubiquitin protein ligase activity	Historical hypothesis; author review pending	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	MEDIUM	GAM|Transitional|Protein turnover and proteostasis		
AUTHOR_BIO_THEME_0041	GAM	Transitional	RNA processing and expression	23 terms / 6 redundancy groups	0 terms	NO	6	3.48793747028952e-05		REQUIRES_AUTHOR_REVIEW	NEW_CURRENT_CANDIDATE	SHARED_ACROSS_3_REGIONS	GO:GO:0051252:regulation of RNA metabolic process; GO:GO:0010468:regulation of gene expression; GO:GO:0006355:regulation of DNA-templated transcription; GO:GO:1903506:obsolete regulation of nucleic acid-templated transcription; GO:GO:0006357:regulation of transcription by RNA polymerase II	Obsolete GO term evidence present	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER	LOW	GAM|Transitional|RNA processing and expression		
