condition	signal_architecture_type	stability_level	dominant_state	fsf_signal_class	gene_set_id	n_genes	n_annotated	annotated_fraction	final_biological_theme	evidence_priority	GO_theme	KEGG_theme	significant_GO_terms_FDR005	significant_KEGG_terms_FDR005	best_GO_FDR	best_KEGG_FDR	representative_GO_terms	representative_KEGG_terms	final_interpretation	GO_theme_secondary	KEGG_theme_secondary	biological_support	manuscript_interpretation
gam	Multi-layer signal architecture	highly_stable	constant	highly_stable_constant	gam__highly_stable__constant__highly_stable_constant	5447	4841	0.8887460987699651	Energy metabolism / redox regulation	moderate	Broad regulatory / cellular process	Energy / core metabolism	2	22	0.00293749201744444	9.066322316571849e-8	GO:0009063;GO:0006733	ko01200;map01200;ko01120;map01120;ko01110;map01110|ko01130;map01130;ko01230;map01230;ko00640;map00640;ko00280;map00280;ko00010;map00010	GAM highly_stable / constant / highly_stable_constant is assigned to Energy metabolism / redox regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process	Energy / core metabolism	GO_and_KEGG_supported	gam class highly_stable / constant / highly_stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Energy / core metabolism.
gam	Multi-layer signal architecture	stable	constant	stable_constant	gam__stable__constant__stable_constant	3720	3319	0.8922043010752688	Weak / nonspecific enrichment	moderate	Broad regulatory / cellular process	No significant KEGG enrichment	22	0	0.00163185035792398	NA	GO:0005216;GO:0005244;GO:0022832;GO:0022843;GO:0019233;GO:0022838;GO:0022803;GO:0071805;GO:0015267;GO:0005249|GO:1902495		GAM stable / constant / stable_constant is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Unclassified / manual review	NA	GO_supported	gam class stable / constant / stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: No significant KEGG enrichment.
gam	Multi-layer signal architecture	instable	down	instable	gam__instable__down__instable	40	33	0.825	Weak / nonspecific enrichment	moderate	No significant GO enrichment	Other KEGG / manual review	0	14	NA	0.00585121203678077		K09059;K12114;K14462;K05184;K14711;K05090;K05181;K14716;K08409;K14951	GAM instable / down / instable is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	NA	Other KEGG / manual review	KEGG_supported	gam class instable / down / instable shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: Other KEGG / manual review.
gam	Multi-layer signal architecture	weakly_stable_transitional	down	weakly_stable_transitional_down	gam__weakly_stable_transitional__down__weakly_stable_transitional_down	622	536	0.8617363344051447	Energy metabolism / redox regulation	limited	No significant GO enrichment	Energy / core metabolism	0	2	NA	0.0093158131684385		ko00190;map00190	GAM weakly_stable_transitional / down / weakly_stable_transitional_down is assigned to Energy metabolism / redox regulation based on combined GO and KEGG evidence. Support level: limited.	NA	Energy / core metabolism	KEGG_supported	gam class weakly_stable_transitional / down / weakly_stable_transitional_down shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: Energy / core metabolism.
gam	Multi-layer signal architecture	instable	mixed	instable	gam__instable__mixed__instable	958	842	0.8789144050104384	No clear enrichment	low	No significant GO enrichment	No significant KEGG enrichment	0	0	NA	NA			GAM instable / mixed / instable is assigned to No clear enrichment based on combined GO and KEGG evidence. Support level: low.	NA	NA	no_significant_enrichment	gam class instable / mixed / instable shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: No significant KEGG enrichment.
gam	Multi-layer signal architecture	instable	up	instable	gam__instable__up__instable	17	14	0.8235294117647058	No clear enrichment	low	No significant GO enrichment	No significant KEGG enrichment	0	0	NA	NA			GAM instable / up / instable is assigned to No clear enrichment based on combined GO and KEGG evidence. Support level: low.	NA	NA	no_significant_enrichment	gam class instable / up / instable shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: No significant KEGG enrichment.
gam	Multi-layer signal architecture	weakly_stable_transitional	constant	weakly_stable_transitional_constant	gam__weakly_stable_transitional__constant__weakly_stable_transitional_constant	1125	1009	0.8968888888888888	No clear enrichment	low	No significant GO enrichment	No significant KEGG enrichment	0	0	NA	NA			GAM weakly_stable_transitional / constant / weakly_stable_transitional_constant is assigned to No clear enrichment based on combined GO and KEGG evidence. Support level: low.	NA	NA	no_significant_enrichment	gam class weakly_stable_transitional / constant / weakly_stable_transitional_constant shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: No significant KEGG enrichment.
ht	Highly stable-dominated architecture	highly_stable	up	highly_stable_up	ht__highly_stable__up__highly_stable_up	2390	2205	0.9225941422594144	Genome maintenance / nuclear regulation	high	Chromosome / nuclear organization	Other KEGG / manual review	600	20	3.0029198735630077e-15	0.00185980861794471	GO:0005634;GO:0005654|GO:0044428;GO:0051252;GO:0019219;GO:0031981;GO:0031323;GO:0019222;GO:0090304;GO:0080090;GO:0060255;GO:0010556|GO:2001141;GO:1903506;GO:2000112	ko05168;map05168;ko03013;map03013;ko04214;map04214;ko04391;map04391|ko04010;map04010;ko04657;map04657|ko05222;map05222;ko05218;map05218;ko05200;map05200;ko05215;map05215	HT highly_stable / up / highly_stable_up is assigned to Genome maintenance / nuclear regulation based on combined GO and KEGG evidence. Support level: high.	Chromosome / nuclear organization;Broad regulatory / cellular process;Unclassified / manual review	Other KEGG / manual review	GO_and_KEGG_supported	ht class highly_stable / up / highly_stable_up shows a signal-class-specific biological profile. GO theme: Chromosome / nuclear organization. KEGG theme: Other KEGG / manual review.
ht	Highly stable-dominated architecture	highly_stable	down	highly_stable_down	ht__highly_stable__down__highly_stable_down	2564	2344	0.9141965678627144	Energy metabolism / redox regulation	high	Broad regulatory / cellular process	Energy / core metabolism	424	85	1.929230761893465e-32	3.952717547638503e-17	GO:0005576;GO:0005615;GO:0044421;GO:0017144;GO:0098800;GO:0008061;GO:0006119;GO:0016054;GO:0046395;GO:0004252|GO:0044281;GO:0016491;GO:0006082;GO:0043436;GO:0055114;GO:0019752|GO:1990204;GO:1901605	ko01100;map01100;ko00190;map00190;ko01120;map01120;ko01110;map01110;ko01200;map01200|K00799;K04097;K19919;K01832;K07424;K01362;K14445;ko00980;map00980;ko00590|ko05204;map05204	HT highly_stable / down / highly_stable_down is assigned to Energy metabolism / redox regulation based on combined GO and KEGG evidence. Support level: high.	Broad regulatory / cellular process;Metabolism / oxidation-reduction;Unclassified / manual review	Energy / core metabolism	GO_and_KEGG_supported	ht class highly_stable / down / highly_stable_down shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Energy / core metabolism.
ht	Highly stable-dominated architecture	highly_stable	constant	highly_stable_constant	ht__highly_stable__constant__highly_stable_constant	10233	8918	0.8714941854783543	Broad cellular regulation	moderate	Broad regulatory / cellular process	Endocrine / physiological regulation	22	23	4.122711142290256e-4	1.4999599189131506e-4	GO:0007059;GO:0045132;GO:0007127;GO:0030261;GO:0005813;GO:0032991;GO:0061982;GO:0005815;GO:0032543;GO:0005761|GO:0098813|GO:0007049;GO:1903047;GO:0022402;GO:0000278;GO:0000280;GO:0048285;GO:0000070;GO:0051321;GO:0140013|GO:0140014	ko04924;map04924;ko04925;map04925;ko04923;map04923;ko04921;map04921|ko04111;map04111;ko04113;map04113|K12323;ko00230;map00230;ko04270;map04270;ko00515;map00515|ko04022;map04022|ko03030;map03030	HT highly_stable / constant / highly_stable_constant is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Chromosome / nuclear organization;Cell cycle / cell division;Unclassified / manual review	Endocrine / physiological regulation	GO_and_KEGG_supported	ht class highly_stable / constant / highly_stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Endocrine / physiological regulation.
lt	Highly stable-dominated architecture	highly_stable	up	highly_stable_up	lt__highly_stable__up__highly_stable_up	42	40	0.9523809523809524	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	30	33	0.00755377062191592	0.00656021560060552	GO:0004497;GO:0016705;GO:0009308;GO:0009713;GO:0042423;GO:0046189;GO:0009822;GO:0046333;GO:0042737;GO:0004500|GO:0016491|GO:1901617	K00503;K00485;K01581;K11994;K11995;K17712;K22312;K01446;K08203;K08204|K02934	LT highly_stable / up / highly_stable_up is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Metabolism / oxidation-reduction;Unclassified / manual review	Other KEGG / manual review	GO_and_KEGG_supported	lt class highly_stable / up / highly_stable_up shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
lt	Highly stable-dominated architecture	highly_stable	down	highly_stable_down	lt__highly_stable__down__highly_stable_down	84	75	0.8928571428571429	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	3	40	0.04891155304733414	0.01030927835051565	GO:0000722;GO:0006312;GO:0030684	K03243;K03317;K06669;K06674;K09522;K10358;K10396;K10696;K12478;K12482|K10803;K10866;K10742	LT highly_stable / down / highly_stable_down is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process	Other KEGG / manual review	GO_and_KEGG_supported	lt class highly_stable / down / highly_stable_down shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
osm	Highly stable-dominated architecture	highly_stable	up	highly_stable_up	osm__highly_stable__up__highly_stable_up	203	176	0.8669950738916257	Weak / nonspecific enrichment	moderate	No significant GO enrichment	Other KEGG / manual review	0	98	NA	0.00108756036864644		K04448;K14381;K19511;K03283;K09542;K09543;K08237;K01028;K01296;K01396|ko04668;map04668;ko04010;map04010;ko04612;map04612;ko04624;map04624|ko04915;map04915	OSM highly_stable / up / highly_stable_up is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	NA	Other KEGG / manual review	KEGG_supported	osm class highly_stable / up / highly_stable_up shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: Other KEGG / manual review.
osm	Highly stable-dominated architecture	highly_stable	constant	highly_stable_constant	osm__highly_stable__constant__highly_stable_constant	14746	13078	0.8868845788688458	Weak / nonspecific enrichment	moderate	Broad regulatory / cellular process	No significant KEGG enrichment	70	0	1.399694401359235e-7	NA	GO:0044424;GO:0005622;GO:0044446;GO:0009987;GO:0043229;GO:0005623;GO:0044464;GO:0044422;GO:0043226;GO:0044444|GO:0071704;GO:0044238|GO:0022402;GO:0007049;GO:0000278|GO:0005634|GO:1901360;GO:1902494		OSM highly_stable / constant / highly_stable_constant is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Metabolism / oxidation-reduction;Cell cycle / cell division;Chromosome / nuclear organization;Unclassified / manual review	NA	GO_supported	osm class highly_stable / constant / highly_stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: No significant KEGG enrichment.
osm	Highly stable-dominated architecture	highly_stable	down	highly_stable_down	osm__highly_stable__down__highly_stable_down	238	213	0.8949579831932774	Cell adhesion / extracellular interaction	moderate	No significant GO enrichment	Cell adhesion / extracellular interaction	0	49	NA	0.02245179445007401		ko04550;map04550|K16796;K09267;K21374;K15290;K09628;K00490;K01441;K01858;K04130;K04372|K02934	OSM highly_stable / down / highly_stable_down is assigned to Cell adhesion / extracellular interaction based on combined GO and KEGG evidence. Support level: moderate.	NA	Cell adhesion / extracellular interaction	KEGG_supported	osm class highly_stable / down / highly_stable_down shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: Cell adhesion / extracellular interaction.
uv	Multi-layer signal architecture	stable	constant	stable_constant	uv__stable__constant__stable_constant	2596	2332	0.8983050847457628	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	180	2	9.630071158728671e-17	0.0366100839263939	GO:0043231;GO:0043227;GO:0043229;GO:0043226;GO:0044446;GO:0005622;GO:0044424;GO:0044422;GO:0031974;GO:0043233|GO:0005634;GO:0005654|GO:0044238;GO:0071704|GO:1902494	ko04144;map04144	UV stable / constant / stable_constant is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Chromosome / nuclear organization;Metabolism / oxidation-reduction;Unclassified / manual review	Other KEGG / manual review	GO_and_KEGG_supported	uv class stable / constant / stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
uv	Multi-layer signal architecture	weakly_stable_transitional	down	weakly_stable_transitional_down	uv__weakly_stable_transitional__down__weakly_stable_transitional_down	419	383	0.9140811455847256	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	133	7	0.0015953052190127	0.0126836959269945	GO:0040003;GO:0022610;GO:0042335;GO:0005576;GO:0022603;GO:0003180;GO:0003184;GO:0042330;GO:0003176;GO:0003177|GO:0009887;GO:0060541|GO:0098742;GO:0007155;GO:0007156;GO:0098609|GO:0007610;GO:0006935;GO:0040011|GO:1905314;GO:0120033;GO:1901342;GO:0120035	K19511|ko04921;map04921;ko04924;map04924|ko04022;map04022	UV weakly_stable_transitional / down / weakly_stable_transitional_down is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Development / morphogenesis;Cell adhesion / junction;Movement / behavior / taxis;Unclassified / manual review	Other KEGG / manual review	GO_and_KEGG_supported	uv class weakly_stable_transitional / down / weakly_stable_transitional_down shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
uv	Multi-layer signal architecture	stable	down	stable_down	uv__stable__down__stable_down	238	209	0.8781512605042017	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	2	78	1.3909892580900025e-4	0.04077892325315001	GO:0005576;GO:0008061	K00469;K01104;K01341;K03518;K03791;K04142;K04662;K04964;K04968;K04979|K05612	UV stable / down / stable_down is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process	Other KEGG / manual review	GO_and_KEGG_supported	uv class stable / down / stable_down shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
uv	Multi-layer signal architecture	highly_stable	down	highly_stable_down	uv__highly_stable__down__highly_stable_down	117	108	0.9230769230769232	Broad cellular regulation	moderate	Broad regulatory / cellular process	Other KEGG / manual review	2	74	1.9046487560551452e-6	0.01324878050921879	GO:0008061;GO:0004252	K05096;K05098;K04362;K05093;K01324;K04147;K04205;K04314;K04349;K04358|ko04510;map04510|ko05224;map05224;ko05218;map05218;ko05200;map05200|ko04010;map04010	UV highly_stable / down / highly_stable_down is assigned to Broad cellular regulation based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process	Other KEGG / manual review	GO_and_KEGG_supported	uv class highly_stable / down / highly_stable_down shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: Other KEGG / manual review.
uv	Multi-layer signal architecture	highly_stable	up	highly_stable_up	uv__highly_stable__up__highly_stable_up	141	127	0.900709219858156	Weak / nonspecific enrichment	moderate	No significant GO enrichment	Other KEGG / manual review	0	63	NA	0.02499922603015403		K03102;K14411;K05349;K00235;K01489;K02259;K03940;K07409;K07918;K07923	UV highly_stable / up / highly_stable_up is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	NA	Other KEGG / manual review	KEGG_supported	uv class highly_stable / up / highly_stable_up shows a signal-class-specific biological profile. GO theme: No significant GO enrichment. KEGG theme: Other KEGG / manual review.
uv	Multi-layer signal architecture	highly_stable	constant	highly_stable_constant	uv__highly_stable__constant__highly_stable_constant	2133	1917	0.8987341772151899	Weak / nonspecific enrichment	moderate	Broad regulatory / cellular process	No significant KEGG enrichment	34	0	1.695030086180461e-7	NA	GO:0005829;GO:0044444;GO:0044446;GO:0008565;GO:0030120;GO:0005765;GO:0098852;GO:0005737;GO:0030125;GO:0032991|GO:1902494		UV highly_stable / constant / highly_stable_constant is assigned to Weak / nonspecific enrichment based on combined GO and KEGG evidence. Support level: moderate.	Broad regulatory / cellular process;Unclassified / manual review	NA	GO_supported	uv class highly_stable / constant / highly_stable_constant shows a signal-class-specific biological profile. GO theme: Broad regulatory / cellular process. KEGG theme: No significant KEGG enrichment.
uv	Multi-layer signal architecture	weakly_stable_transitional	constant	weakly_stable_transitional_constant	uv__weakly_stable_transitional__constant__weakly_stable_transitional_constant	3264	2900	0.8884803921568627	Translation / protein targeting	moderate	Translation / ribosome	Translation / ribosome	22	2	2.67638872521073e-8	3.5349693550187555e-11	GO:0003735;GO:0022626;GO:0002181;GO:0005840;GO:0006412;GO:0022627;GO:0022625;GO:0043043|GO:0044391;GO:0015935;GO:0044445;GO:0006413;GO:0005198;GO:0043604;GO:0015934;GO:0000184|GO:0006614;GO:0006613;GO:0070972;GO:0045047;GO:0072599;GO:0006612	ko03010;map03010	UV weakly_stable_transitional / constant / weakly_stable_transitional_constant is assigned to Translation / protein targeting based on combined GO and KEGG evidence. Support level: moderate.	Translation / ribosome;Broad regulatory / cellular process;Protein targeting / secretion	Translation / ribosome	GO_and_KEGG_supported	uv class weakly_stable_transitional / constant / weakly_stable_transitional_constant shows a signal-class-specific biological profile. GO theme: Translation / ribosome. KEGG theme: Translation / ribosome.
