gene_set_id	condition	stability_region	dominant_state	signal_class	region_or_class	historical_profile	historical_GO_theme	historical_KEGG_theme	historical_GO_significant_count	historical_KEGG_significant_count	current_GO_evidence_summary	current_KEGG_evidence_summary	architecture_context	current_GO_significant_count	current_KEGG_significant_count	GO_evidence_change	KEGG_evidence_change	theme_evidence_change	historical_profile_status	review_status	author_decision	author_notes
HT__Highly_Stable__constant__Highly_Stable_Constant	HT	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	Broad cellular regulation	Broad regulatory / cellular process	Endocrine / physiological regulation	22	23	GO significant terms=22; top IDs=GO:0007059;GO:0098813;GO:0045132;GO:0007049;GO:1903047; minimum adjusted p=4.122711e-04	KEGG significant terms=23; top IDs=K12323;ko04924;map04924;ko04925;map04925; minimum adjusted p=1.49996e-04	HT/Highly Stable/constant	22	23	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
HT__Highly_Stable__down__Highly_Stable_Down	HT	Highly Stable	down	Highly Stable Down	Highly Stable Down	Energy metabolism / redox regulation	Broad regulatory / cellular process	Energy / core metabolism	424	85	GO significant terms=424; top IDs=GO:0005576;GO:0005615;GO:0044421;GO:0044281;GO:0016491; minimum adjusted p=1.929231e-32	KEGG significant terms=85; top IDs=K00799;K04097;K19919;K01832;K07424; minimum adjusted p=3.952718e-17	HT/Highly Stable/down	424	85	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
HT__Highly_Stable__up__Highly_Stable_Up	HT	Highly Stable	up	Highly Stable Up	Highly Stable Up	Genome maintenance / nuclear regulation	Chromosome / nuclear organization	Other KEGG / manual review	600	20	GO significant terms=600; top IDs=GO:0005634;GO:0044428;GO:0051252;GO:0019219;GO:0031981; minimum adjusted p=3.00292e-15	KEGG significant terms=20; top IDs=ko05168;map05168;ko04010;map04010;ko04657; minimum adjusted p=1.859809e-03	HT/Highly Stable/up	600	20	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
LT__Highly_Stable__constant__Highly_Stable_Constant	LT	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	Translation / protein targeting	Broad regulatory / cellular process	Translation / ribosome	11	2	GO significant terms=11; top IDs=GO:0005740;GO:0031966;GO:0044429;GO:0005739;GO:0019866; minimum adjusted p=1.417666e-03	KEGG significant terms=2; top IDs=ko03010;map03010; minimum adjusted p=1.372562e-02	LT/Highly Stable/constant	11	2	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
LT__Highly_Stable__down__Highly_Stable_Down	LT	Highly Stable	down	Highly Stable Down	Highly Stable Down	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	3	40	GO significant terms=3; top IDs=GO:0000722;GO:0006312;GO:0030684; minimum adjusted p=4.891155e-02	KEGG significant terms=40; top IDs=K03243;K03317;K06669;K06674;K09522; minimum adjusted p=1.030928e-02	LT/Highly Stable/down	3	40	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
LT__Highly_Stable__up__Highly_Stable_Up	LT	Highly Stable	up	Highly Stable Up	Highly Stable Up	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	30	33	GO significant terms=30; top IDs=GO:0004497;GO:0016705;GO:0009308;GO:0009713;GO:0042423; minimum adjusted p=7.553771e-03	KEGG significant terms=33; top IDs=K00503;K02934;K00485;K01581;K11994; minimum adjusted p=6.560216e-03	LT/Highly Stable/up	30	33	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_UNCHANGED	REQUIRES_AUTHOR_REVIEW	NA	NA
LT__Low_Stability__tied__Low_Stability	LT	Low Stability	tied	Low Stability	Low Stability	Broad cellular regulation	Broad regulatory / cellular process	Endocrine / physiological regulation	11	4	GO significant terms=11; top IDs=GO:0005576;GO:0005730;GO:0008061;GO:0030684;GO:0006805; minimum adjusted p=1.101891e-04	KEGG significant terms=4; top IDs=ko04974;map04974;ko03040;map03040; minimum adjusted p=1.011007e-02	LT/Low Stability/tied	11	4	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	SUPPORTED_BUT_LABEL_UPDATE	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Highly_Stable__down__Highly_Stable_Down	UV	Highly Stable	down	Highly Stable Down	Highly Stable Down	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	2	74	GO significant terms=2; top IDs=GO:0008061;GO:0004252; minimum adjusted p=1.904649e-06	KEGG significant terms=74; top IDs=K05096;K05098;K04362;K05093;K01324; minimum adjusted p=1.324878e-02	UV/Highly Stable/down	2	74	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Stable__constant__Stable_Constant	UV	Stable	constant	Stable Constant	Stable Constant	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	180	2	GO significant terms=180; top IDs=GO:0043231;GO:0043227;GO:0043229;GO:0043226;GO:0044446; minimum adjusted p=9.630071e-17	KEGG significant terms=2; top IDs=ko04144;map04144; minimum adjusted p=3.661008e-02	UV/Stable/constant	180	2	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Stable__down__Stable_Down	UV	Stable	down	Stable Down	Stable Down	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	2	78	GO significant terms=2; top IDs=GO:0005576;GO:0008061; minimum adjusted p=1.390989e-04	KEGG significant terms=78; top IDs=K00469;K01104;K01341;K03518;K03791; minimum adjusted p=4.077892e-02	UV/Stable/down	2	78	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GO_RETAINED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Transitional__constant__Transitional_Constant	UV	Transitional	constant	Transitional Constant	Transitional Constant	Translation / protein targeting	Translation / ribosome	Translation / ribosome	22	2	GO significant terms=26; top IDs=GO:0002181;GO:0022626;GO:0003735;GO:0044391;GO:0005840; minimum adjusted p=2.854254e-14	KEGG significant terms=2; top IDs=ko03010;map03010; minimum adjusted p=1.879253e-14	UV/Transitional/constant	26	2	STRENGTHENED_TERM_COUNT	RETAINED_TERM_COUNT	GO_STRENGTHENED_TERM_COUNT;KEGG_RETAINED_TERM_COUNT	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Transitional__down__Transitional_Down	UV	Transitional	down	Transitional Down	Transitional Down	Broad cellular regulation	Broad regulatory / cellular process	Other KEGG / manual review	133	7	GO significant terms=334; top IDs=GO:0005576;GO:0042335;GO:0022603;GO:0040003;GO:0044421; minimum adjusted p=3.344955e-05	KEGG significant terms=1; top IDs=K19511; minimum adjusted p=4.80055e-02	UV/Transitional/down	334	1	STRENGTHENED_TERM_COUNT	WEAKENED_TERM_COUNT	GO_STRENGTHENED_TERM_COUNT;KEGG_WEAKENED_TERM_COUNT	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
OSM__Highly_Stable__up__Highly_Stable_Up	OSM	Highly Stable	up	Highly Stable Up	Highly Stable Up	Weak / nonspecific enrichment	No significant GO enrichment	Other KEGG / manual review	0	98	GO significant terms=0	KEGG significant terms=98; top IDs=K04448;K14381;K19511;K03283;K09542; minimum adjusted p=1.08756e-03	OSM/Highly Stable/up	0	98	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GO_ABSENT_UNCHANGED;KEGG_RETAINED_TERM_COUNT	PARTIALLY_SUPPORTED	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Transitional__down__Transitional_Down	GAM	Transitional	down	Transitional Down	Transitional Down	Energy metabolism / redox regulation	No significant GO enrichment	Energy / core metabolism	0	2	GO significant terms=0	KEGG significant terms=2; top IDs=ko00190;map00190; minimum adjusted p=9.315813e-03	GAM/Transitional/down	0	2	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GO_ABSENT_UNCHANGED;KEGG_RETAINED_TERM_COUNT	PARTIALLY_SUPPORTED	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Highly_Stable__up__Highly_Stable_Up	UV	Highly Stable	up	Highly Stable Up	Highly Stable Up	Weak / nonspecific enrichment	No significant GO enrichment	Other KEGG / manual review	0	63	GO significant terms=0	KEGG significant terms=63; top IDs=K03102;K14411;K05349;K00235;K01489; minimum adjusted p=2.499923e-02	UV/Highly Stable/up	0	63	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GO_ABSENT_UNCHANGED;KEGG_RETAINED_TERM_COUNT	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Low_Stability__down__Low_Stability	GAM	Low Stability	down	Low Stability	Low Stability	Weak / nonspecific enrichment	No significant GO enrichment	Other KEGG / manual review	0	14	GO significant terms=0	KEGG significant terms=14; top IDs=K09059;K12114;K14462;K05184;K14711; minimum adjusted p=5.851212e-03	GAM/Low Stability/down	0	14	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GO_ABSENT_UNCHANGED;KEGG_RETAINED_TERM_COUNT	SUPPORTED_BUT_LABEL_UPDATE	REQUIRES_AUTHOR_REVIEW	NA	NA
OSM__Highly_Stable__down__Highly_Stable_Down	OSM	Highly Stable	down	Highly Stable Down	Highly Stable Down	Cell adhesion / extracellular interaction	No significant GO enrichment	Cell adhesion / extracellular interaction	0	49	GO significant terms=0	KEGG significant terms=49; top IDs=K16796;K09267;K21374;K15290;K09628; minimum adjusted p=2.245179e-02	OSM/Highly Stable/down	0	49	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GO_ABSENT_UNCHANGED;KEGG_RETAINED_TERM_COUNT	PARTIALLY_SUPPORTED	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Transitional__up__Transitional_Up	UV	Transitional	up	Transitional Up	Transitional Up	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=8; top IDs=ko00980;map00980;ko05204;map05204;ko00982; minimum adjusted p=3.795324e-03	UV/Transitional/up	0	8	ABSENT_UNCHANGED	NEW_EVIDENCE	GO_ABSENT_UNCHANGED;KEGG_NEW_EVIDENCE	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__constant__Low_Stability	UV	Low Stability	constant	Low Stability	Low Stability	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/constant	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Transitional__constant__Transitional_Constant	GAM	Transitional	constant	Transitional Constant	Transitional Constant	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	GAM/Transitional/constant	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	NO_CURRENT_EVIDENCE	REQUIRES_AUTHOR_REVIEW	NA	NA
OSM__Highly_Stable__constant__Highly_Stable_Constant	OSM	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	Weak / nonspecific enrichment	Broad regulatory / cellular process	No significant KEGG enrichment	70	0	GO significant terms=70; top IDs=GO:0044424;GO:0005622;GO:0044446;GO:0009987;GO:0043229; minimum adjusted p=1.399694e-07	KEGG significant terms=0	OSM/Highly Stable/constant	70	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	GO_RETAINED_TERM_COUNT;KEGG_ABSENT_UNCHANGED	PARTIALLY_SUPPORTED	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Highly_Stable__constant__Highly_Stable_Constant	UV	Highly Stable	constant	Highly Stable Constant	Highly Stable Constant	Weak / nonspecific enrichment	Broad regulatory / cellular process	No significant KEGG enrichment	34	0	GO significant terms=34; top IDs=GO:0005829;GO:0044444;GO:0044446;GO:0008565;GO:0030120; minimum adjusted p=1.69503e-07	KEGG significant terms=0	UV/Highly Stable/constant	34	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	GO_RETAINED_TERM_COUNT;KEGG_ABSENT_UNCHANGED	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Stable__constant__Stable_Constant	GAM	Stable	constant	Stable Constant	Stable Constant	Weak / nonspecific enrichment	Broad regulatory / cellular process	No significant KEGG enrichment	22	0	GO significant terms=22; top IDs=GO:0005216;GO:0005244;GO:0022832;GO:0022843;GO:0019233; minimum adjusted p=1.63185e-03	KEGG significant terms=0	GAM/Stable/constant	22	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	GO_RETAINED_TERM_COUNT;KEGG_ABSENT_UNCHANGED	PARTIALLY_SUPPORTED	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__down__Low_Stability	UV	Low Stability	down	Low Stability	Low Stability	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/down	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Low_Stability__up__Low_Stability	GAM	Low Stability	up	Low Stability	Low Stability	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	GAM/Low Stability/up	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	NO_CURRENT_EVIDENCE	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Transitional__up__Transitional_Up	GAM	Transitional	up	Transitional Up	Transitional Up	Weak / nonspecific enrichment	Broad regulatory / cellular process	No significant KEGG enrichment	283	0	GO significant terms=283; top IDs=GO:0050789;GO:0065007;GO:0050794;GO:0016043;GO:0071840; minimum adjusted p=2.612137e-08	KEGG significant terms=0	GAM/Transitional/up	283	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	GO_RETAINED_TERM_COUNT;KEGG_ABSENT_UNCHANGED	PARTIALLY_SUPPORTED	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__up__Low_Stability	UV	Low Stability	up	Low Stability	Low Stability	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/up	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
GAM__Low_Stability__tied__Low_Stability	GAM	Low Stability	tied	Low Stability	Low Stability	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	GAM/Low Stability/tied	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	NO_CURRENT_EVIDENCE	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Low_Stability__tied__Low_Stability	UV	Low Stability	tied	Low Stability	Low Stability	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	UV/Low Stability/tied	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
UV__Stable__up__Stable_Up	UV	Stable	up	Stable Up	Stable Up	No clear enrichment	No significant GO enrichment	No significant KEGG enrichment	0	0	GO significant terms=0	KEGG significant terms=0	UV/Stable/up	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GO_ABSENT_UNCHANGED;KEGG_ABSENT_UNCHANGED	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	REQUIRES_AUTHOR_REVIEW	NA	NA
