historical_rule_id	source_script	rule_type	historical_label	mapping_or_rule	historical_target	manual_or_deterministic	current_review_status
GO_11	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Broad regulatory / cellular process	regex:^GO:00	Broad regulatory / cellular process	manual	REQUIRES_AUTHOR_REVIEW
GO_12	scripts/pipeline/32_GO_enrichment_interpretation_tables.R	GO_THEME_MAPPING	Unclassified / manual review	fallback:TRUE	Unclassified / manual review	manual	REQUIRES_AUTHOR_REVIEW
KEGG_01	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Translation / ribosome	ko03010|map03010|Ribosome|K029|K028	Translation / ribosome	manual	REQUIRES_AUTHOR_REVIEW
KEGG_02	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Genome maintenance / DNA repair	ko03030|map03030|ko034|map034|K107|K108|K109|DNA|repair|replication|recombination	Genome maintenance / DNA repair	manual	REQUIRES_AUTHOR_REVIEW
KEGG_03	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Cell cycle regulation	ko04110|map04110|ko04111|map04111|ko04113|map04113|cell cycle	Cell cycle regulation	manual	REQUIRES_AUTHOR_REVIEW
KEGG_04	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Protein turnover / proteostasis	ko03050|map03050|ko04120|map04120|proteasome|ubiquitin|K056	Protein turnover / proteostasis	manual	REQUIRES_AUTHOR_REVIEW
KEGG_05	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Energy / core metabolism	ko00190|map00190|ko01100|map01100|ko01110|map01110|ko01120|map01120|ko01200|map01200|oxidative|metabolism	Energy / core metabolism	manual	REQUIRES_AUTHOR_REVIEW
KEGG_06	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Stress signaling / signal transduction	ko04010|map04010|ko04013|map04013|ko04022|map04022|ko04151|map04151|ko046|map046|signaling|MAPK	Stress signaling / signal transduction	manual	REQUIRES_AUTHOR_REVIEW
KEGG_07	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Cell adhesion / extracellular interaction	ko045|map045|adhesion|junction|ECM	Cell adhesion / extracellular interaction	manual	REQUIRES_AUTHOR_REVIEW
KEGG_08	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Cytoskeleton / cellular remodeling	ko048|map048|cytoskeleton|actin	Cytoskeleton / cellular remodeling	manual	REQUIRES_AUTHOR_REVIEW
KEGG_09	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Neural signaling	ko047|map047|synapse|neuro|neuron	Neural signaling	manual	REQUIRES_AUTHOR_REVIEW
KEGG_10	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Endocrine / physiological regulation	ko049|map049|endocrine|hormone|insulin	Endocrine / physiological regulation	manual	REQUIRES_AUTHOR_REVIEW
KEGG_11	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Broad proliferation / regulatory pathway	ko052|map052|cancer	Broad proliferation / regulatory pathway	manual	REQUIRES_AUTHOR_REVIEW
KEGG_12	scripts/pipeline/34_build_biological_profiles.R	KEGG_THEME_MAPPING	Other KEGG / manual review	fallback:TRUE	Other KEGG / manual review	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_01	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Translation / protein targeting	translation|ribosome|ribosomal|protein targeting|secretion	Translation / protein targeting	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_02	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Genome maintenance / nuclear regulation	dna repair|genome maintenance|replication|recombination|chromosome|nuclear organization|nucleotide excision|homologous recombination|mismatch repair	Genome maintenance / nuclear regulation	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_03	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Cell cycle / division	cell cycle|cell division|mitotic|meiosis|spindle|chromosome segregation	Cell cycle / division	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_04	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Proteostasis / protein turnover	proteostasis|protein turnover|proteasome|ubiquitin|folding|chaperone	Proteostasis / protein turnover	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_05	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Energy metabolism / redox regulation	energy|metabolism|oxidation|oxidative|oxidoreduction|mitochond|carbon metabolism|oxidative phosphorylation	Energy metabolism / redox regulation	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_06	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Stress signaling / signal transduction	stress signaling|signal transduction|mapk|calcium|phosphatidylinositol|signaling	Stress signaling / signal transduction	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_07	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Cell adhesion / extracellular interaction	adhesion|junction|extracellular|ecm|cell adhesion	Cell adhesion / extracellular interaction	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_08	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Development / morphogenesis	development|morphogenesis|tissue|structural remodeling|organ development	Development / morphogenesis	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_09	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Neural / behavioral organization	neural|neuron|synapse|axon|projection|behavior|movement|taxis|locomotion	Neural / behavioral organization	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_10	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	No clear enrichment	both GO and KEGG report no significant enrichment	No clear enrichment	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_11	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Weak / nonspecific enrichment	no significant plus broad/other/manual/unclassified	Weak / nonspecific enrichment	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_12	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Broad cellular regulation	broad/other/manual/unclassified	Broad cellular regulation	manual	REQUIRES_AUTHOR_REVIEW
PROFILE_13	scripts/pipeline/35_curate_final_biological_themes.R	COMBINED_PROFILE_MAPPING	Mixed functional program	fallback:TRUE	Mixed functional program	manual	REQUIRES_AUTHOR_REVIEW
ARCH_01	scripts/pipeline/35_curate_final_biological_themes.R	CONDITION_ARCHITECTURE	Highly stable-dominated architecture	condition in LT,OSM,HT	LT;OSM;HT	manual	REQUIRES_AUTHOR_REVIEW
ARCH_02	scripts/pipeline/35_curate_final_biological_themes.R	CONDITION_ARCHITECTURE	Mixed stable-instabile architecture	condition == DES	DES	manual	REQUIRES_AUTHOR_REVIEW
ARCH_03	scripts/pipeline/35_curate_final_biological_themes.R	CONDITION_ARCHITECTURE	Multi-layer signal architecture	condition in UV,GAM	UV;GAM	manual	REQUIRES_AUTHOR_REVIEW
ARCH_04	scripts/pipeline/35_curate_final_biological_themes.R	CONDITION_ARCHITECTURE	Unassigned architecture	fallback	other	manual	REQUIRES_AUTHOR_REVIEW
PRIORITY_01	scripts/pipeline/35_curate_final_biological_themes.R	EVIDENCE_PRIORITY	low_no_clear	theme == No clear enrichment	low	manual	REQUIRES_AUTHOR_REVIEW
PRIORITY_02	scripts/pipeline/35_curate_final_biological_themes.R	EVIDENCE_PRIORITY	high	GO >100 and KEGG >10	high	manual	REQUIRES_AUTHOR_REVIEW
PRIORITY_03	scripts/pipeline/35_curate_final_biological_themes.R	EVIDENCE_PRIORITY	moderate	GO >20 or KEGG >5	moderate	manual	REQUIRES_AUTHOR_REVIEW
PRIORITY_04	scripts/pipeline/35_curate_final_biological_themes.R	EVIDENCE_PRIORITY	limited	GO >0 or KEGG >0	limited	manual	REQUIRES_AUTHOR_REVIEW
PRIORITY_05	scripts/pipeline/35_curate_final_biological_themes.R	EVIDENCE_PRIORITY	low_fallback	fallback	low	manual	REQUIRES_AUTHOR_REVIEW
SUPPORT_01	scripts/pipeline/34_build_biological_profiles.R	EVIDENCE_PRESENCE	both	GO>0 and KEGG>0	GO_and_KEGG_supported	deterministic	REQUIRES_AUTHOR_REVIEW
SUPPORT_02	scripts/pipeline/34_build_biological_profiles.R	EVIDENCE_PRESENCE	GO_only	GO>0 and KEGG=0	GO_supported	deterministic	REQUIRES_AUTHOR_REVIEW
SUPPORT_03	scripts/pipeline/34_build_biological_profiles.R	EVIDENCE_PRESENCE	KEGG_only	GO=0 and KEGG>0	KEGG_supported	deterministic	REQUIRES_AUTHOR_REVIEW
SUPPORT_04	scripts/pipeline/34_build_biological_profiles.R	EVIDENCE_PRESENCE	neither	GO=0 and KEGG=0	no_significant_enrichment	deterministic	REQUIRES_AUTHOR_REVIEW
NARRATIVE34_01	scripts/pipeline/34_build_biological_profiles.R	GENERATED_NARRATIVE	signal-class profile sentence	condition/class shows profile; GO theme; KEGG theme	manuscript_interpretation	manual	REQUIRES_AUTHOR_REVIEW
NARRATIVE35_01	scripts/pipeline/35_curate_final_biological_themes.R	GENERATED_NARRATIVE	curated support sentence	condition/class is assigned theme based on evidence; support level	final_interpretation	manual	REQUIRES_AUTHOR_REVIEW
