feature_id	n_perturbations	p_up	p_down	p_const	dominant_state	SSI	stability_deviation	stability_level	dominant_signal_identity	fsf_signal_class
SC_19	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_190	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_191	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_192	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_193	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_194	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_195	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_196	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_197	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_198	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_199	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_2	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_20	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_201	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_202	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_203	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_204	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_205	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_206	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_207	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_208	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_209	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_21	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_210	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_211	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_213	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_214	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_215	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_216	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_217	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_218	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_219	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_22	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_220	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_221	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_222	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_223	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_224	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_225	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_226	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_227	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_228	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_229	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_23	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_230	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_231	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_232	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_233	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_234	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_235	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_236	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_237	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_238	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_239	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_24	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_240	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_241	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_242	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_243	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_245	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_246	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_247	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_248	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_249	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_25	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_250	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_251	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_252	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_253	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_254	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_255	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_256	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_257	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_258	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_26	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_260	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_261	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_262	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_263	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_264	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_265	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_266	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_268	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_269	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_27	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_270	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_271	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_272	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_273	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_274	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_275	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_276	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_277	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_278	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_279	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_28	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_280	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_281	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_282	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_283	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_284	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_285	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_286	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_287	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_288	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_289	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_29	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_290	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_291	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_292	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_293	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_294	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_296	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_297	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_299	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_3	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_30	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_300	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_301	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_302	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_303	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_304	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_305	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_306	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_307	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_308	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_309	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_31	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_311	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_312	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_314	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_315	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_316	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_317	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_318	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_320	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_321	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_322	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_324	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_325	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_326	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_327	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_328	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_329	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_33	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_330	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_331	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_332	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_333	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_334	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_335	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_336	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_337	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_338	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_339	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_34	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_340	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_341	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_343	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_344	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_345	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_346	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_347	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_348	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_349	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_35	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_350	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_352	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_353	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_354	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_355	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_356	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_357	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_359	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_36	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_360	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_361	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_362	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_364	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_365	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_366	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_367	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_368	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_369	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_37	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_370	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_371	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_372	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_373	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_374	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_375	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_376	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_378	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_379	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_38	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_380	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_381	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_382	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_383	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_384	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_385	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_386	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_387	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_388	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_389	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_390	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_391	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_392	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_393	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_394	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_395	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_397	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_398	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_399	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_4	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_40	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_401	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_402	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_403	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_404	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_405	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_406	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
SC_407	100	0	0	1	constant	1	0	highly_stable	stable_constant_identity	highly_stable_constant
